Asana,Benefits
BHUMI PADA MASTAKASANA,"This asana helps in cases of low blood pressure. It balances the
nervous system, strengthens the neck muscles and brings a rich supply of
blood to the brain. As a preliminary pose to sirshasana, it accustoms the
brain to the increased influx of blood and the crown to supporting the weight
of the body."
MOORDHASANA,"This asana helps in cases of low blood pressure. It balances the
nervous system, strengthens the neck muscles and brings a rich supply of
blood to the brain. As a preliminary pose to sirshasana, it accustoms the
brain to the increased influx of blood and the crown to supporting the weight
of the body."
SARVANGASANA,"By pressing the chest against the chin, this asana stimulates the thyroid gland. It generally
balances the circulatory, respiratory, digestive, reproductive, nervous and endocrine systems. It
also tranquillizes the mind, relieves mental and emotional stress, and helps clear psychological
disturbances, boosting the immune system. Its influence on the parathyroid glands ensures normal
development and regeneration of the bones.
Abdominal breathing is induced, improving the exchange of air in the body, relieving stress and
massaging the abdominal organs. Sarvangasana releases the normal gravitational pressure from
the anal muscles, relieving haemorrhoids. It tones the legs, abdomen and reproductive organs,
draining stagnant blood and fluid, and increasing circulation to these areas.
Flexibility of the neck vertebrae is improved and the nerves passing through the neck to the brain
are toned. Circulation is increased in this area generally, revitalizing the ears, eyes and tonsils."
PADMA SARVANGASANA,"As for sarvangasana, except that free drainage of blood from the legs is impeded;
therefore, it is not effective in the treatment of piles or varicose veins. However, this asana gives
an additional stretch and massage to the pelvic region and internal organs. It strengthens and
coordinates the leg muscles and improves the sense of balance."
POORWA HALASANA,"It stretches the pelvis, regulates the kidneys, activates the intestines and removes excess
weight. It is a good preparatory pose before attempting halasana"
HALASANA,"massages all the internal organs, activates the digestion, relieving constipation and dyspepsia,
revitalizes the spleen and the suprarenal glands, promotes the production of insulin by the
pancreas and improves liver and kidney function. It strengthens the abdominal muscles, relieves
spasms in the back muscles, tones the spinal nerves and increases blood circulation to the whole
area. It regulates the activities of the thyroid gland, which balances the bodyâ€™s metabolic rate. It
also improves the immune system."
DRUTA HALASANA," This practice has the benefits of both halasana and paschimottanasana. It strengthens the
back and abdominal muscles, activates intestinal peristalsis, improving digestion and removing
constipation. It facilitates the breakdown of fats by exercising the liver and gall bladder, and
stretches the pelvic region."
ARDHA PADMA HALASANA," This practice has the benefits of both halasana and paschimottanasana. It strengthens the
back and abdominal muscles, activates intestinal peristalsis, improving digestion and removing
constipation. It facilitates the breakdown of fats by exercising the liver and gall bladder, and
stretches the pelvic region."
 Stambhan Asana ," This practice has the benefits of both halasana and paschimottanasana. It strengthens the
back and abdominal muscles, activates intestinal peristalsis, improving digestion and removing
constipation. It facilitates the breakdown of fats by exercising the liver and gall bladder, and
stretches the pelvic region."
 Sirshasana," This asana is very powerful for awakening sahasrara chakra and therefore it is considered
the greatest of all asanas.
Sirshasana revitalizes the entire body and mind. It relieves anxiety and other psychological
disturbances which form the root cause of many disorders such as asthma, hay fever, diabetes and
menopausal imbalance.
It also helps to rectify many forms of nervous and glandular disorders, especially those related to
the reproductive system.
This asana reverses the effect of gravity on the body. Strain on the back is thus alleviated and the
reversed flow of blood in the legs and visceral regions aids tissue regeneration. The weight of the
abdominal organs on the diaphragm encourages deep exhalation so that larger amounts of carbon
dioxide are removed from the lungs."
 SALAMBA SIRSHASANA," This asana is very powerful for awakening sahasrara chakra and therefore it is considered
the greatest of all asanas.
Sirshasana revitalizes the entire body and mind. It relieves anxiety and other psychological
disturbances which form the root cause of many disorders such as asthma, hay fever, diabetes and
menopausal imbalance.
It also helps to rectify many forms of nervous and glandular disorders, especially those related to
the reproductive system.
This asana reverses the effect of gravity on the body. Strain on the back is thus alleviated and the
reversed flow of blood in the legs and visceral regions aids tissue regeneration. The weight of the
abdominal organs on the diaphragm encourages deep exhalation so that larger amounts of carbon
dioxide are removed from the lungs."
 NIRALAMBA SIRSHASANA," This asana is very powerful for awakening sahasrara chakra and therefore it is considered
the greatest of all asanas.
Sirshasana revitalizes the entire body and mind. It relieves anxiety and other psychological
disturbances which form the root cause of many disorders such as asthma, hay fever, diabetes and
menopausal imbalance.
It also helps to rectify many forms of nervous and glandular disorders, especially those related to
the reproductive system.
This asana reverses the effect of gravity on the body. Strain on the back is thus alleviated and the
reversed flow of blood in the legs and visceral regions aids tissue regeneration. The weight of the
abdominal organs on the diaphragm encourages deep exhalation so that larger amounts of carbon
dioxide are removed from the lungs."
OORDHWA PADMASANA," As for sirshasana, except that free drainage of blood from the legs is impeded. This asana
induces full expansion of the chest and back. It stretches and massages the pelvic region,
benefiting the internal organs. It strengthens and coordinates the leg muscles and improves the
sense of balance."
 KAPALI ASANA," This asana is very powerful for awakening sahasrara chakra and therefore it is considered
the greatest of all asanas.
Sirshasana revitalizes the entire body and mind. It relieves anxiety and other psychological
disturbances which form the root cause of many disorders such as asthma, hay fever, diabetes and
menopausal imbalance.
It also helps to rectify many forms of nervous and glandular disorders, especially those related to
the reproductive system.
This asana reverses the effect of gravity on the body. Strain on the back is thus alleviated and the
reversed flow of blood in the legs and visceral regions aids tissue regeneration. The weight of the
abdominal organs on the diaphragm encourages deep exhalation so that larger amounts of carbon
dioxide are removed from the lungs."
 EKA PADA PRANAMASANA," This asana develops nervous balance. It also strengthens the leg, ankle and foot muscles."
 NATAVARASANA, Natavarasana helps develop nervous balance and concentration.
 GARUDASANA," Garudasana improves concentration, strengthens the muscles and loosens the joints of the
shoulders, arms and legs, and is good for the upper back."
 TANDAVASANA," This asana balances the nervous system, develops control of the body and mental
concentration, and makes the legs supple."
 SARAL NATARAJASANA," This asana strengthens the back, shoulders, arms, hips and legs. It helps develop a sense
of balance and coordination and improves concentration"
 NATARAJASANA," This asana strengthens the back, shoulders, arms, hips and legs. It helps develop a sense
of balance and coordination and improves concentration"
 EKA PADASANA," This asana strengthens the arms, wrists, back, hips and leg muscles. It helps to develop
muscular coordination, nervous balance and concentration."
 BAKASANA," Strengthens the back, hip and leg muscles, improves blood circulation and gives a
beneficial compression to the abdominal organs. It aids concentration, balance and nervous
coordination."
 UTTHITA HASTA PADANGUSTHASANA," Improves concentration and coordinates muscular and nervous balance. The hips and leg
muscles are strengthened and toned, and the hamstrings are stretched, helping the knee and
ankle joints."
 MERUDANDASANA," This asana tones the abdominal organs, especially the liver, and strengthens the abdominal
muscles. It helps to stimulate intestinal peristalsis, alleviating constipation. It tones the
sympathetic and parasympathetic nervous systems, strengthens the muscles of the back and helps
to realign the spine. It helps to remove tiredness from the legs, giving a feeling of lightness and
balance, and is good for the knees."
 NIRALAMBA PASCHIMOTTANASANA,"  This practice has similar benefits to paschimottanasana. In addition, it helps to improve
the sense of balance."
 ARDHA PADMA PADOTTANASANA," This asana helps improves the sense of balance and activates intestinal peristalsis,
alleviating constipation."
 ARDHA BADDHA PADMOTTANASANA," This asana stimulates digestion, removes constipation, improves blood circulation and
strengthens the legs."
 VATAYANASANA," This asana strengthens the leg muscles and knee joints. It develops the ability to retain
seminal fluid for the maintenance of brahmacharya."
 PADA ANGUSHTHASANA," This asana helps to maintain brahmacharya and regulates the reproductive system. It
strengthens the toes and ankles. Concentration is improved."
 BAKA DHYANASANA," This asana balances the nervous system. It strengthens the arms and wrists and develops
the sense of physical balance."
 Eka Pada Baka Dhyanasana," This asana balances the nervous system. It strengthens the arms and wrists and develops
the sense of physical balance."
DWI HASTA BHUJASANA," This asana develops the arm muscles and increases flexibility in the shoulder joints and
lower back. It massages and tones the abdomen and visceral organs, stimulating the pancreas."
EKA HASTA BHUJASANA," This asana strengthens the arm muscles and increases flexibility in the shoulders, hips and
lower back. It strengthens the abdominal organs and tones the perineum as the muscles contract.
Thus it helps with the preservation of sexual energy for spiritual purposes."
 HAMSASANA," Hamsasana massages and stimulates the abdominal organs and muscles, and is beneficial
for a healthy digestive system"
 SANTOLANASANA," This asana improves nervous balance and develops a sense of inner equilibrium and
harmony. It strengthens the muscles of the thighs, arms, shoulders and spine."
 VASHISHTHASANA," This asana improves nervous balance. It also makes the leg muscles supple, strengthens
the arms and tones the lower back."
POORNA BHUJANGASANA," This asana keeps the spine supple and healthy. It tones the ovaries and uterus, and is
beneficial for all the abdominal organs, especially the liver and kidneys.
On a pranic level, this asana has a strong effect on all the organs related to swadhisthana,
manipura, anahata and vishuddhi chakras."
 KOORMASANA," Koormasana tones all the organs of the abdomen and is helpful in managing diabetes,
flatulence and constipation. It increases circulation in the spine, soothing the nerves and relieving
head and neck ache. It induces introversion, mental relaxation, composure and a sense of inner
security and surrender. Passion, fear and anger subside, and the body and mind are refreshed
through this practice."
 POORNA SHALABHASANA," Poorna shalabhasana strengthens the back and pelvic organs. It tones and balances the
functioning of the liver, stomach, bowels and other abdominal organs, and stimulates the appetite.
It tightens the muscles of the buttocks and causes the body to do vajroli mudra spontaneously.
Many of the benefits of inverted asanas also apply."
 POORNA DHANURASANA," The entire alimentary canal is reconditioned by this asana. The abdominal organs and
muscles are massaged. The liver, pancreas, kidneys and adrenal glands are toned, balancing their
secretions. This leads to improved functioning of the digestive, excretory and reproductive organs.
It improves blood circulation generally.
The spinal column is realigned and the ligaments, muscles and nerves are activated. It strengthens
the shoulder, arm and leg muscles, especially the thighs.
It is useful for freeing nervous energy in the cervical and thoracic area, generally improving
respiration."
 DHANURAKARSHANASANA," This is an excellent asana for loosening the hip joints and making the legs supple. It
strengthens the arms and tones the abdominal organs. It helps to relieve tension in the back and
neck, and is helpful for people with hydrocele."
 PRISHTHASANA," This asana beneficially stretches the abdominal muscles and organs. It increases
circulation in the back, stimulating and toning the nerves of the spine. It strengthens the legs and
develops balance."
 PARIGHASANA," This posture gives a good lateral stretch to the pelvic region and trunk. It massages the
abdominal muscles and organs, helping to prevent accumulation of fat and sagging skin around
the abdomen."
 CHAKRASANA," Chakrasana strengthens the legs. It is beneficial to the nervous, digestive, respiratory,
cardiovascular and glandular systems. It influences all the hormonal secretions and helps relieve
various gynaecological disorders"
 HANUMANASANA," This pose improves flexibility and blood circulation in the legs and hips. It massages the
abdominal organs, tones the reproductive system and makes the pelvic area supple"
 BRAHMACHARYASANA," This asana strengthens the abdominal organs and muscles, as well as the thighs and arms.
The muscles of the perineum contract strongly while this asana is performed, automatically
inducing vajroli mudra, ashwini mudra, and moola bandha. Consequently, it is an important asana
for the conservation of sexual energy for spiritual purposes."
 GRIVASANA," Grivasana strengthens the neck, back and thighs, and improves the sense of balance"
 SIRSHAPADA BHUMI SPARSHASANA," This asana makes the back muscles strong and supple. It stimulates the spinal nerves and
blood circulation, strengthens the thigh, neck and abdominal muscles and is an excellent pose for
inducing relaxation."
 POORNA MATSYENDRASANA,"  This asana simultaneously stretches the muscles on one side of the back and abdomen
while contracting the muscles on the other side.
It tones the nerves of the spine, makes the back muscles supple, relieves lumbago and muscular
spasms, and reduces the tendency of adjoining vertebrae to develop inflammatory problems and
calcium deposits. It massages the abdominal organs, alleviating digestive ailments. It regulates the
secretions of the adrenal gland, liver and pancreas, and is beneficial for the kidneys."
 MAYURASANA," This asana stimulates the metabolic processes which increase secretions from different
glands. It stimulates the elimination of toxins from the blood, assisting the removal of skin
conditions such as boils. All the digestive organs are massaged and intestinal peristalsis is
stimulated. It is useful in managing flatulence, constipation, diabetes and sluggishness of the liver
and kidneys. It harmonizes the glands of the endocrine system, develops mental and physical
balance, strengthens the muscles of the whole body and develops muscular control. In particular,
the toxins accumulated in the body are burnt, bringing the three doshas or humours: vata, wind,
kapha, phlegm, and pitta, bile, into balance and harmony."
 PADMA MAYURASANA," This asana stimulates the metabolic processes which increase secretions from different
glands. It stimulates the elimination of toxins from the blood, assisting the removal of skin
conditions such as boils. All the digestive organs are massaged and intestinal peristalsis is
stimulated. It is useful in managing flatulence, constipation, diabetes and sluggishness of the liver
and kidneys. It harmonizes the glands of the endocrine system, develops mental and physical
balance, strengthens the muscles of the whole body and develops muscular control. In particular,
the toxins accumulated in the body are burnt, bringing the three doshas or humours: vata, wind,
kapha, phlegm, and pitta, bile, into balance and harmony."
 MOOLABANDHASANA," This asana automatically induces moola bandha and is primarily used for awakening
mooladhara chakra. It is an important asana for the conservation of sexual energy, and tones the
reproductive and eliminatory organs. It also makes the legs and feet exceptionally supple."
 GORAKSHASANA," This asana reverses the flow of apana, directing it upward to the higher centres for use in
meditative states. It makes the legs and feet extremely supple."
 ASTAVAKRASANA," This asana develops nervous control throughout the body and mind. It reverses the flow of
apana, directing the energy towards manipura chakra, helping to maintain brahmacharya,
â€˜celibacyâ€™. It strengthens the wrists, the arm and leg muscles, and the muscles of the abdomen"
 VRISCHIKASANA," Vrischikasana reorganizes prana in the body, arresting the physical ageing process. It
improves the blood flow to the brain and pituitary gland, revitalizing all the bodyâ€™s systems. It
improves circulation in the lower limbs and abdomen, and tones the reproductive organs. The
arched position stretches and loosens the back, toning the nerves of the spine. It strengthens the
arms and develops the sense of balance"
 EKA PADA SIRASANA," This asana compresses each side of the abdomen, thoroughly massaging the internal
organs, stimulating peristalsis and removing constipation. It tones the reproductive organs and
improves blood circulation in the legs, relieving varicose veins. It increases the level of energy in
the chakras, thus vitalizing the body and mind."
 UTTHAN EKA PADA SIRASANA," This asana compresses each side of the abdomen, thoroughly massaging the internal
organs, stimulating peristalsis and removing constipation. It tones the reproductive organs and
improves blood circulation in the legs, relieving varicose veins. It increases the level of energy in
the chakras, thus vitalizing the body and mind. strengthen thigh and back muscles."
 DWI PADA SIRASANA," This asana helps to control the nervous system. The solar plexus and the adrenal glands
are powerfully massaged, increasing vitality. It tones all the abdominal and pelvic organs,
improving the efficiency of the digestive, reproductive and eliminatory systems."
 DWI PADA KANDHARASANA," This asana helps to control the nervous system. The solar plexus and the adrenal glands
are powerfully massaged, increasing vitality. It tones all the abdominal and pelvic organs,
improving the efficiency of the digestive, reproductive and eliminatory systems."
 PADMA PARVATASANA," In addition to the benefits of padmasana, this asana develops the sense of balance"
VISHWAMITRASANA," This asana stretches and tones the muscles of the arms and legs, and the sciatic nerves. It
strengthens the internal organs, improves concentration and the sense of balance."
Sukhanasana,"Reduces stress, anxiety, improves focus,strengthen back muscles ,improves body posture, neck pain"
Shavasana,"Helps in increasing concentration,reduce depression. coordinates nervous tension, helpful for pregnant women (contraindications applied),"
Naukasana,"Helps in reducing nervous tension, increases the flexibility of the lower body, the reproductive system is also stimulated,good for women with infertility issues, or menstrual related symptoms."
Dhanurasana,"relieves neck pain,Strengthens back muscles,Helpful is stimulating reproductive organs,Improve the function of the pancreas."
Bhujangasana,"Opens and stretches the chest cavity 
  Stretches the anterior spinal ligaments and abdominal contents 
  Aligns upper body posture, especially rounded shoulders 
  Strengthens the upper body 
  Enhances breath capacity 
  Increases the flexibility of the entire spine"
Vakrasana,"stretches the spine and the muscles around it,
Practice of this pose tones the muscles of the back and thus brings stability to the spine,tones the internal organs like the digestive system, intestines, uterus and kidney"
Bakasana,  Stretches the hamstring and spinal muscles   Improves posture   Develops the muscles of the hip region   Massages and tones the abdominal contents   Improves blood flow to the brain   Enhances circulation   Improves body balance and strength
Halasana,"Improves the function of the Thyroid, Parathyroid, Pituitary Glands, Endocrine Glands, Abdominal Organs including spleen, pancreas, liver and kidneys. The Reproductive organs are stimulated.
"
Sarvangasana,  Stretches the entire spine   Improves circulation of blood in the lower extremity   Massages abdominal organs   Stimulates the glandular systems
Sirshasana,"1) Increases blood flow to the brain
releasing toxins
2) Reverses the effects of gravity on
the body
3) Revitalizes the visceral organs
4) Encourages deeper respiration
5) Relaxes the body and mind
"
Gomukhasana,"1) Gomukhasana helps to make the back flexible.
2) It can remove stiff shoulders and backpain.
3 It helps in the treatment of sciatica.
4) It stimulates the kidneys and can help those suffering from diabetes.
5) It helps to develop the chest.
6) It helps in sexual ailments."
Upavistha Konasana,"1) It gives a good stretch to the groins and the inside muscles of the legs.
2) It loosens up the lower back and hips. Those with stiff back can benefit by practicing this pose daily.
3) It can give relief to sciatica.
4) It strengthens the spine.
5) Upavistha Konasana stretches the hamstring muscles.
5) Core muscles in the lower abdomen are strengthened."
Utthan Pristhasana,"1) Utthan Pristhasana is a good hip opener.
2) It strengthens the thigh muscles of the front leg.
3)It stretches the groins and the hip flexors.
4) Opens the chest and neck."
Hasta Utthanasana,"1)It improves digestion.
2)It stretches and tones the muscles of the abdomen.
3) It expands the chest and the rib cage resulting in full intake of oxygen. The lung capacity is fully utilised."
Paschimottanasana ,  Stretches the hamstrings   Increases the flexibility of the hip joints   Massages the abdominal contents   Elongates the spine from the sacrumto the base of the skull
Kapalabhati pranayama,"Kapalbhati cleans the cranial sinuses and can relieve cerebral thrombosis.
It purifies the nerves and the pranic channels, removes excess of Kapha (one of the Doshas in Ayurveda) from the body, gives a clear mind and helps to control thoughts.
The word Kapala means skull and Bhati means to illumine. This practice adds luster to the face,removes all impurities of the body, oxygenate the blood, It helps to remove abdominal fat and is an excellent practice for obesity."
Padmasana,"  Stabilizes the pelvis and hips   Increases breath capacity   Elongates the spine from the sacrum to the base of the skull   Facilitates mental and physical balance,
This pose brings in fresh blood to the sacral nerves.
Lotus Pose (Padmasana) helps to clear up many physical, nervous and emotional problems.
Since the blood is made to circulate in the lumbar region and the abdomen, the spine and the abdominal organs are toned."
Taadasana,"Tadasana (Mountain Pose) strengthens the legs and the feet, tones the hips, glutes, and abdomen.
 It aligns the body and improves balance.
  Develops strength in the
ankles and arches of the feet
  Opens up the hips
  Establishes balance and
coordination
  Improves posture"
Ardha matsyendrasan,"1) Ardha matsyendrasana is one of the best poses to improve the flexibility of the spine. It keeps your spine young.
2) It stretches the muscles along the spinal column and tones the spinal nerves. This can relieve some mild pains caused by stiff back.
3) It is good for mild cases of slipped disk.
4) This pose massages the organs in the abdominal region.
5) It improves digestion.
6) Ardha matysendrasana  tones the kidneys and improves secretion of the adrenal glands.
7) It activates the pancreas and helps to manage diabetes."
Balasana ,"1)Balasana stretches the shoulders and back and ankles subtly.
2)Flexibility of the lower limbs, ankles and feet are enhanced with the alignment.
3)In this pose, the chest is constricted, yet the heart is relaxed.
4)Awareness and Focus (Concentration)/Alignment and Posture.
5)Energizing, De-stressing, Relaxing
6)Therapeutic, Healing and Ailments"
Phalakasana,"1)The most important advantages of this yoga pose is that it helps in remaining focused and improves concentration, without which this yoga pose is not possible.
2)The muscles around the shoulders, upper arms, forearms, and the wrists are toned and strengthened.
3)The muscles like the hamstrings, the quadriceps, calves too are put to work thus toning them and making them strong and flexible.
4)The core, abdominal muscles, are used to the maximum here and hence they get toned and give a great shape to the body.
5)As the abdominal muscles are used here the fat around the tummy is reduced giving more strength to the abdominal muscles.
6)Maintaining balance requires concentration that in turn improves memory.
7)The chest is expanded to the maximum giving a great support to the chest muscles and toning them thus improving respiratory system.
8)The hips gets toned and both the lower back and the hips become strong and flexible.
9)As the entire body is stretched it improves the spine and gives a great looking posture to the body.
10)It helps in improving the general stamina of the body and therefore relieves stress and physical pain in the body.
11)Therapeutically it heals ailments like insomnia, migraine, irritable symptoms due to menopause, osteoporosis, and general body weakness."
Trikonasana,"1)Trikonasana gives flexibility of the back and spine.
2)It stimulates the digestive fire and removes constipation.
3)It massages the muscles and nerves in the pelvic region, relieving stiffness and mild pains.
4)It tones all organs in the abdomen maintain the health of those organs.
5)Trikonasana is a good workout which can get the blocked energies moving and can relieve depression."
Setu Bandha ,"1)Bridge Pose (Setubandha Sarvangasana) strengthens the quadriceps, hamstrings, glutes, and the pelvic muscles.
2)The diaphragm is elongated and the breath is steady. Staying a little longer in the Bridge Pose (Setubandha Sarvangasana) helps build required strength to follow Bridge Pose Variation Hands Support( Setubandha Sarvangasana Variation Hands Support) and Bridge Pose Variation Ankles ( Setubandha Sarvangasana Variation Ankles) to feel the chest more open.
3)Increases Awareness and Focus (Concentration)
4)The bridge created with the support of the shoulders and legs lifts the lower back and mid-back. The upper back supports this spinal movement. This fortifies the shoulders and corrects sagging shoulders.
5)In Bridge Pose, the chin nearly tucked to the neck stimulates the salivary glands, lymph nodes and thyroid glands. This helps in enhancing digestion, detoxifying the body and balancing the hormones in the body. 
6)This pose is very effective for Core strengthening and hence can be practised by athletes, runners, postnatal women and teens. In addition, this pose also helps reduce belly fat, hence toning the belly."
Ustrasana,"1) Camel Pose stretches the anterior body (the chest, abdomen, and quadriceps, and the psoas muscles). It tones the glutes and the hamstrings. In this pose, the abdomen and the core are stretched to their sustainable best, and hence it is a good counter pose to boat pose (navasana) where the core is activated with toning and strengthening.
2) Camel Pose improves spinal mobility because, in our daily activities, we never challenge the spine to a backbend. We are likely to be sitting or slouching and bending our spine forward. We flex it in the opposite direction by doing a backbend, and this toning enhances body posture.
3) The element of Camel Pose is the chest opening. It stretches the chest muscles, enhances blood circulation in the body, and fosters a healthy heart. The chest cavity is enhanced, and this results in cardiovascular fitness. The expansion of the diaphragm is beneficial for respiration. 
4) Camel Pose(Ustrasana) is effective in detoxifying the body. It enhances circulation to the digestive tract, thus improving digestion, appetite, and excretion of food. An effective digestive system energizes the body.
5) This yoga pose also stimulates the endocrine glands with abdominal stretching and alleviates diseases related to the ovaries, pineal glands, and testes. etc. The uterus is toned, and the urogenital system of the body is benefited.
6) Ustrasana works subtly but effectively to improve the digestive, respiratory, endocrine, lymphatic, skeletal, and circulatory systems. The chest opening enhances the respiratory system, and ailments related to it, like asthma and bronchitis, can be treated by this practice. "
Natrajasana ,"1)The raising of the leg beyond the hip, stretches the hamstrings, calves and the quadricep muscles, thus making them more flexible and strong.
2)The hips are toned here with the backbend of the lower back and the thighs.
3)Beautiful asana to tone the arms and the shoulders removing the wrong posture of the shoulders and the extra fat at the upper arms .
4)The chest and the shoulders expand here, thus creating more space for the breath.
5)The entire spine is in action, thus toning the muscles around it including the neck and builds overall flexibility.
6)The most important benefit one gets from this pose is the balancing of the body, thus giving room for more focus towards mind and body. This further improves concentration and memory"
Surya Namaskar,"1) Surya Namaskara comprehensively includes asana, pranayama, mantra and meditative awareness. Hence it is good to start the morning yoga practice with Surya Namaskara..
2)The sequence of asanas induces deep and rhythmic breathing.
3)It loosens up the joints in the body.
4)It tones the muscles and the internal organs.
5)Surya Namaskara activates the Pingala nadi or the Surya nadi which enhances the energy level in the body.
5)It removes lethargy and makes the mind alert.
6)It helps to strengthen the back muscles.
7)It balances the respiratory, circulatory, reproductive and the endocrine system.
Surya Namaskara, when done briskly, is good practice to burn extra fat in the body"
Bhairavasana,"1. Promotes spinal flexibility: Practicing Bhairavasana lengthens the spine which stretches the back muscles and makes them supple and flexible. The spine gets strong and prevents any chances of getting hurt or injured.
2. Strengthens the leg muscles: It involves flexing the knees, ankles, while activating the arches and toes. It stretches the leg muscles and supplies blood and nourishment to the cells. Thus, promotes legs strength and flexibility.
3. Stimulates hip-flexors: Since, bhairavasana is an intense hip opener, it stretches the hip-flexors, and the internal rotation of the hips while performing the pose focuses on hip flexors. It improves the hip mobility and relieves all the accumulated stress.
4. Improves digestion: The abdominals are also stretched and massaged holding this posture. It tones the abdominal organs that aids in healthy digestion. Thus, it tones the abdominal muscles and keeps digestive disorders at bay.
5. Stretches Oblique muscles: To get into this pose, the torso is bent sideways that brings a great stretch in oblique muscles. It increases the endurance of these muscles, keeps the body toned and in proper shape."
Hanumanasana,"1) Stretches the leg muscles, strengthening and toning them. The lengthening of the leg muscles also helps to bring stability in the hips.
2) Better circulation of blood in the hip girdle and the legs. There is fresh flow of blood towards the legs right after being released from the posture, and this helps in rejuvenating the muscles, tissues, ligaments and tendons.
3) In most seated poses the weight of the body is on the hips and the sit bones, but in Hanumanasana (Splits Pose) it is on the pelvic girdle, engaging the pelvic floor muscles. Thus, it works on strengthening these muscles, improving blood supply, the coccygeal region (tailbone) is stretched which helps since it connects to perineum and the spine.
4) With the stretch in the groin area, groin muscles, psoas muscles, and abdominal muscles are strengthened helping in keeping the hips stable.
With the practice of Splits Pose, there is scope for bringing balance and stability to the hips and pelvic girdle. With the opposite movement of the hip flexors and the legs, students can learn to neutralize the rotation of the hips. With better hip stability, mastering advance poses that require deeper hip opening can be achieved.
5)Awareness and Alignment plays an important role with the practice of Hanumanasana (Splits Pose). With the awareness, students should work on the alignment of the body to ensure achieving the best from the practice as well as avoid injury. Hence, for perfect alignment, using blocks where needed, should be encouraged."
Vajrasana,"1) Heals Body: The end of the spinal column (meru danda) is so beautifully placed on the heels giving the body a great looking posture and helps in transporting the prana smoothly to the entire body. This flow of prana is the first stage to heal the body from within.
2) Increases Flexibility in Ankles: The ankles are bent so well giving room for greater flexibility right up to the tips of the toes.
3) Improves Blood Circulation: The folding of the knees and the thighs stretches these muscles and improves blood circulation and improves flexibility.
4) Strengthens Pelvic Muscles: In this pose as the spine is elevated and away from the floor, the flow of blood is altered along with the nervous impulses in the pelvic region and pelvic muscles are strengthened.
5) Improves Digestion: As this is one of the few yoga poses which can be practiced even after a meal, it is considered as a good way to help in digestion and increases the efficiency of the digestive system.
6) Stabilizes Mind and Body: In this pose it is said that the mind and the body become stabilized, hence is recommended for pranayama and meditation which later improves concentration and memory.
7) Increases Blood Circulation in Abdomen: It increases the blood circulation in the abdominal area, with the special fold of the legs creating a bandha. This bandha controls the blood circulation from the waist downwards."
Siddhasana,"1) Soothing and Calm: When the spine is straight and follows the neutral shape, the energy flow from the base of the spine to the crown of the head moves encouraging the nervous system to be relaxed. A calm nervous system helps calm the mind, building better focus and awareness.
2) Concentration and Memory: The benefits of pranayama and meditation is enhanced when done in the right seated posture. Seated in Swastikasana the level of concentration increases as the energy flow is smooth through the unblocked channels. This brings an increased level of focus, concentration, and memory.
3) Chakra activation: When the flow of prana is smooth and easy through unblocked channels, the Muladhara (Root) Chakra along with Ajna (Third Eye) Chakra is activated. This benefit though is derived when the practice is done for a longer duration."
Virabhadrasana,"Regular practice of the Warrior Pose I increases flexibility in the hips and strengthens and tones the legs, ankles, and feet.
the deep stretch to the lower body, like the gluteus maximus, the quadriceps, the hamstrings, and the adductors of the inner thighs, helps to maintain a great looking toned muscle. The stretch at the upper body keeps the muscles around the entire spine and the obliques (side abdominal muscles) also in good shape."
Parvatasana,"1) Parvatasana strengthens the muscles of the arms and legs.
2) It tones the spinal nerves and sends good flow of blood to the spinal region.
3) It increases blood flow to the brain and gives mild benefits similar to inverted asanas."
Camatkarasana,"1.he twisting and backbend action in this pose helps to improve the flexibility of the hips, arms, shoulders and the core muscles. The balancing action puts weight on the muscles of the arms and shoulders making it a great practice for well-toned shoulders. This further helps in better range of motion of the spine while in a twist, preparing the upper body for other challenging poses of the same kind.
2.The active use of the chest, rib cage, shoulders, and upper abdomen together help to ensure deeper breathing. The balancing action requires the efficient use of the intercostal muscles (breathing muscles) to keep the body stable and relaxed while in a twist. With practice, the improved breathing will help in the efficient use of the diaphragm
3.The practice of Wild Thing Pose with its backbend puts pressure on the abdominal area. This pressure (with the stretching of the muscles) helps improve digestion, reduces anxiety and improves the immune system. The pelvic opening stimulates the reproductive organs, bringing balance in the hormones with better functioning of the glands."
